product_id,product_name,category,subcategory,brand,seller_id,list_price,unit_cost
P00089,Zari Studio Printed Lawn 2-Piece,Fashion ,Women's Unstitched Lawn,Zari Studio,S0010,3799,1998
P00090,Zari Studio Kids Frock,Fashion,Kids Clothing,Zari Studio,S0003,1599,903
P00091,Chaman Wear Printed Lawn 2-Piece,Fashion,Women's Unstitched Lawn,Chaman Wear,S0013,6799,3710
P00092,Resham Loom Kids Frock,Fashion,Kids Clothing,Resham Loom,S0022,1949,1038
P00093,Chaman Wear Kids Frock,Fashion,Kids Clothing,Chaman Wear,S0006,2099,1143
P00094,Resham Loom Printed Lawn 2-Piece,Fashion,Women's Unstitched Lawn,Resham Loom,S0030,5499,3121
P00095,Noor Threads Wash & Wear Suit,Fashion,Men's Kurta,Noor Threads,S0010,5199,2804
P00096,Zari Studio Kids T-Shirt Pack,Fashion,Kids Clothing,Zari Studio,S0019,2199,1190
P00097,Noor Threads Kids Frock,Fashion,Kids Clothing,Noor Threads,S0022,1399,712
P00098,Zari Studio Wash & Wear Suit,Fashion,Men's Kurta,Zari Studio,S0004,3799,1889
P00099,Zari Studio Wash & Wear Suit,Fashion,Men's Kurta,Zari Studio,S0011,2199,1148
P00100,Zari Studio Kids T-Shirt Pack,Fashion,Kids Clothing,Zari Studio,S0023,1049,552
P00101,Resham Loom Embroidered Lawn Suit,Fashion,Women's Unstitched Lawn,Resham Loom,S0023,6699,3833
P00102,Saaya Cotton Kurta,Fashion,Men's Kurta,Saaya,S0032,3599,1908
P00103,Saaya Kurta Shalwar Set,Fashion,Men's Kurta,Saaya,S0033,2799,1509
P00104,Saaya 3-Piece Lawn Suit,Fashion,Women's Unstitched Lawn,Saaya,S0029,4699,2767
P00105,Resham Loom Kids Frock,Fashion,Kids Clothing,Resham Loom,S0011,1799,957
P00106,Zari Studio Cotton Kurta,Fashion,Men's Kurta,Zari Studio,S0009,4999,3012
P00107,Noor Threads Kids Kurta,Fashion,Kids Clothing,Noor Threads,S0025,2399,1308
P00108,Saaya Cotton Kurta,Fashion,Men's Kurta,Saaya,S0008,3699,2069
P00109,Resham Loom 3-Piece Lawn Suit,Fashion,Women's Unstitched Lawn,Resham Loom,S0014,2899,1488
P00110,Resham Loom Kids Kurta,Fashion,Kids Clothing,Resham Loom,S0001,1399,714
P00111,Saaya Kids Frock,Fashion,Kids Clothing,Saaya,S0026,1049,541
P00112,Zari Studio Kids T-Shirt Pack,Fashion,Kids Clothing,Zari Studio,S0006,1549,934
P00113,Saaya Kids Kurta,Fashion,Kids Clothing,Saaya,S0003,1049,621
P00114,Resham Loom Printed Lawn 2-Piece,Fashion,Women's Unstitched Lawn,Resham Loom,S0022,2499,1353
P00115,Chaman Wear Embroidered Lawn Suit,Fashion,Women's Unstitched Lawn,Chaman Wear,S0019,4099,2476
P00116,Noor Threads Wash & Wear Suit,Fashion,Men's Kurta,Noor Threads,S0033,3199,1927
P00117,Resham Loom Kids Kurta,Fashion,Kids Clothing,Resham Loom,S0011,1599,910
P00118,Saaya Embroidered Lawn Suit,Fashion,Women's Unstitched Lawn,Saaya,S0012,5799,3136
P00119,Resham Loom Kids Kurta,Fashion,Kids Clothing,Resham Loom,S0011,2299,1364
P00120,Resham Loom Cotton Kurta,Fashion,Men's Kurta,Resham Loom,S0005,4799,2657
P00121,Resham Loom Printed Lawn 2-Piece,fashion,Women's Unstitched Lawn,Resham Loom,S0003,2299,1334
P00122,Noor Threads Embroidered Lawn Suit,Fashion,Women's Unstitched Lawn,Noor Threads,S0025,4899,2504
P00123,Zari Studio Printed Lawn 2-Piece,Fashion,Women's Unstitched Lawn,Zari Studio,S0019,5999,3031
P00124,Resham Loom Cotton Kurta,Fashion,Men's Kurta,Resham Loom,S0020,4099,2256
P00125,Saaya Kurta Shalwar Set,Fashion,Men's Kurta,Saaya,S0011,2999,1553
P00126,Saaya Cotton Kurta,Fashion,Men's Kurta,Saaya,S0026,2099,1079
P00127,Zari Studio Embroidered Lawn Suit,Fashion,Women's Unstitched Lawn,Zari Studio,S0024,3599,2040
P00128,Chaman Wear Embroidered Lawn Suit,Fashion,Women's Unstitched Lawn,Chaman Wear,S0007,3599,2127
P00129,Noor Threads Kurta Shalwar Set,Fashion,Men's Kurta,Noor Threads,S0016,2299,1324
P00130,Chaman Wear Embroidered Lawn Suit,Fashion,Women's Unstitched Lawn,Chaman Wear,S0013,4299,2141
P00131,Noor Threads Kurta Shalwar Set,Fashion,Men's Kurta,Noor Threads,S0013,3499,1893
P00132,Saaya Printed Lawn 2-Piece,Fashion,Women's Unstitched Lawn,Saaya,S0012,6099,3201
P00133,Chaman Wear Printed Lawn 2-Piece,Fashion,Women's Unstitched Lawn,Chaman Wear,S0015,3199,1607
P00134,Noor Threads Wash & Wear Suit,Fashion,Men's Kurta,Noor Threads,S0020,2299,1181
P00135,Zari Studio Kids Frock,Fashion,Kids Clothing,Zari Studio,S0028,1649,827
P00136,Resham Loom Cotton Kurta,Fashion,Men's Kurta,Resham Loom,S0016,3499,1814
P00137,Noor Threads Kids Frock,Fashion,Kids Clothing,Noor Threads,S0004,1149,586
P00138,Zari Studio Kurta Shalwar Set,Fashion,Men's Kurta,Zari Studio,S0012,2599,1389
P00139,Resham Loom Cotton Kurta,Fashion,Men's Kurta,Resham Loom,S0014,3599,2150
P00140,Noor Threads Kids Kurta,Fashion,Kids Clothing,Noor Threads,S0002,1049,533
P00141,Zari Studio Embroidered Lawn Suit,Fashion,Women's Unstitched Lawn,Zari Studio,S0004,5499,3325
P00142,Noor Threads Cotton Kurta,Fashion,Men's Kurta,Noor Threads,S0003,2799,1563
P00143,Zari Studio Kids T-Shirt Pack,Fashion,Kids Clothing,Zari Studio,S0027,1099,604
P00144,Zari Studio Printed Lawn 2-Piece,Fashion,Women's Unstitched Lawn,Zari Studio,S0027,3499,1781
P00145,Resham Loom Cotton Kurta,Fashion,Men's Kurta,Resham Loom,S0033,2199,1231
P00146,Resham Loom Kurta Shalwar Set,Fashion,Men's Kurta,Resham Loom,S0015,2799,1671
P00147,Zari Studio Kids Kurta,Fashion,Kids Clothing,Zari Studio,S0026,1499,836
P00148,Chaman Wear Kurta Shalwar Set,Fashion,Men's Kurta,Chaman Wear,S0012,3799,2025
P00149,Resham Loom 3-Piece Lawn Suit,Fashion,Women's Unstitched Lawn,Resham Loom,S0011,2499,1344
P00150,Resham Loom Kids T-Shirt Pack,Fashion,Kids Clothing,Resham Loom,S0026,1849,1083
P00151,Zari Studio Kids T-Shirt Pack,Fashion,Kids Clothing,Zari Studio,S0004,1899,1138
P00152,Resham Loom Kids Frock,Fashion ,Kids Clothing,Resham Loom,S0031,2899,1652
P00153,Zari Studio 3-Piece Lawn Suit,Fashion,Women's Unstitched Lawn,Zari Studio,S0019,2299,1264
P00154,Stride Works Leather Loafers,Footwear,Men's Footwear,Stride Works,S0036,8699,5486
P00155,Stride Works Heeled Sandals,Footwear,Women's Footwear,Stride Works,S0044,2499,1323
P00156,Qadam Peshawari Chappal,Footwear,Men's Footwear,Qadam,S0036,5199,3091
P00157,Stride Works Heeled Sandals,Footwear,Women's Footwear,Stride Works,S0036,5299,3349
P00158,Qadam Heeled Sandals,Footwear,Women's Footwear,Qadam,S0037,1999,1263
P00159,Stride Works Leather Loafers,Footwear,Men's Footwear,Stride Works,S0038,6699,3746
P00160,Qadam Running Shoes,Footwear,Men's Footwear,Qadam,S0041,5899,3573
P00161,Stride Works Running Shoes,Footwear,Men's Footwear,Stride Works,S0035,8299,4811
P00162,Pairwise Peshawari Chappal,Footwear,Men's Footwear,Pairwise,S0039,4799,2776
P00163,Pairwise Flat Slippers,Footwear,Women's Footwear,Pairwise,S0039,3199,1754
P00164,Stride Works Khussa,Footwear,Women's Footwear,Stride Works,S0041,1949,1220
P00165,Qadam Running Shoes,Footwear,Men's Footwear,Qadam,S0039,2699,1654
P00166,Stride Works Flat Slippers,Footwear,Women's Footwear,Stride Works,S0038,4299,2417
P00167,Pairwise Flat Slippers,Footwear,Women's Footwear,Pairwise,S0041,4499,2570
P00168,Pairwise Leather Loafers,Footwear,Men's Footwear,Pairwise,S0042,4799,2625
P00169,Pairwise Leather Loafers,Footwear,Men's Footwear,Pairwise,S0042,2999,1825
P00170,Qadam Khussa,Footwear,Women's Footwear,Qadam,S0043,2599,1403
P00171,Qadam Khussa,Footwear,Women's Footwear,Qadam,S0036,2699,1647
P00172,Qadam Flat Slippers,Footwear,Women's Footwear,Qadam,S0041,2299,1239
P00173,Pairwise Running Shoes,Footwear,Men's Footwear,Pairwise,S0037,3699,2233
P00174,Qadam Heeled Sandals,Footwear,Women's Footwear,Qadam,S0034,3499,2157
P00175,Qadam Heeled Sandals,Footwear,Women's Footwear,Qadam,S0038,5499,2983
P00176,Qadam Running Shoes,Footwear,Men's Footwear,Qadam,S0039,4099,2289
P00177,Qadam Flat Slippers,Footwear,Women's Footwear,Qadam,S0037,2199,1242
P00178,Stride Works Leather Loafers,Footwear,Men's Footwear,Stride Works,S0036,6599,3937
P00179,Qadam Leather Loafers,Footwear,Men's Footwear,Qadam,S0043,8999,5646
P00180,Pairwise Flat Slippers,Footwear,Women's Footwear,Pairwise,S0042,3399,1962
P00181,Pairwise Running Shoes,Footwear,Men's Footwear,Pairwise,S0039,4199,2599
P00182,Stride Works Khussa,Footwear,Women's Footwear,Stride Works,S0035,2399,1529
P00183,Stride Works Khussa,Footwear,Women's Footwear,Stride Works,S0043,5999,3318
P00184,Stride Works Running Shoes,Footwear,Men's Footwear,Stride Works,S0040,8299,4617
P00185,Qadam Heeled Sandals,Footwear,Women's Footwear,Qadam,S0035,2299,1308
P00186,Qadam Flat Slippers,Footwear,Women's Footwear,Qadam,S0043,4499,2772
P00187,Stride Works Peshawari Chappal,Footwear,Men's Footwear,Stride Works,S0036,8099,4993
P00188,Pairwise Heeled Sandals,Footwear,Women's Footwear,Pairwise,S0036,2599,1486
P00189,Stride Works Leather Loafers,Footwear,Men's Footwear,Stride Works,S0038,3499,1980
P00190,Stride Works Heeled Sandals,footwear,Women's Footwear,Stride Works,S0043,2399,1529
P00191,Stride Works Flat Slippers,Footwear,Women's Footwear,Stride Works,S0034,2399,1277
P00192,Qadam Khussa,Footwear,Women's Footwear,Qadam,S0038,4999,2723
P00193,Pairwise Leather Loafers,Footwear,Men's Footwear,Pairwise,S0038,4599,2769
P00194,Qadam Khussa,Footwear,Women's Footwear,Qadam,S0044,3099,1706
P00195,Stride Works Heeled Sandals,Footwear,Women's Footwear,Stride Works,S0042,4999,2726
P00196,Qadam Peshawari Chappal,Footwear,Men's Footwear,Qadam,S0036,4499,2822
P00197,Pairwise Khussa,Footwear,Women's Footwear,Pairwise,S0042,2599,1397
P00198,Qadam Leather Loafers,Footwear,Men's Footwear,Qadam,S0044,4199,2386
P00199,Qadam Heeled Sandals,Footwear,Women's Footwear,Qadam,S0034,2199,1202
P00200,Pairwise Khussa,Footwear,Women's Footwear,Pairwise,S0044,5699,3008
P00201,Stride Works Leather Loafers,Footwear,Men's Footwear,Stride Works,S0043,3699,1986
P00202,Qadam Flat Slippers,Footwear,Women's Footwear,Qadam,S0042,6399,3991
P00203,Qadam Peshawari Chappal,Footwear,Men's Footwear,Qadam,S0039,6499,3609
P00204,Pairwise Flat Slippers,Footwear,Women's Footwear,Pairwise,S0035,2499,1473
P00205,Nexivo Air Fryer 4L,Electronics,Home Appliances,Nexivo,S0057,52899,41274
P00206,Sonora Over-Ear Headphones,Electronics,Audio,Sonora,S0055,10899,8993
P00207,Sonora Bluetooth Speaker,electronics,Audio,Sonora,S0056,4099,3502
P00208,Voltix Air Fryer 4L,Electronics,Home Appliances,Voltix,S0053,33299,27030
P00209,Voltix Over-Ear Headphones,Electronics,Audio,Voltix,S0053,3699,2942
P00210,Sonora Air Fryer 4L,Electronics,Home Appliances,Sonora,S0053,8299,7379
P00211,Sonora Air Fryer 4L,Electronics,Home Appliances,Sonora,S0049,8899,6743
P00212,Nexivo Smartphone 128GB,Electronics,Smartphones,Nexivo,S0045,118199,103267
P00213,Sonora Smartphone 128GB,Electronics,Smartphones,Sonora,S0053,86399,72809
P00214,Nexivo Inverter Fan,Electronics,Home Appliances,Nexivo,S0052,30999,25255
P00215,Voltix Bluetooth Speaker,Electronics,Audio,Voltix,S0047,11999,9340
P00216,Sonora Smartphone 256GB,Electronics,Smartphones,Sonora,S0056,45299,34008
P00217,Sonora Room Heater,Electronics,Home Appliances,Sonora,S0055,12199,10823
P00218,Voltix Room Heater,Electronics,Home Appliances,Voltix,S0049,22199,18647
P00219,Nexivo Wireless Earbuds,Electronics,Audio,Nexivo,S0053,8599,7298
P00220,Nexivo Air Fryer 4L,Electronics,Home Appliances,Nexivo,S0054,7099,5340
P00221,Sonora Over-Ear Headphones,Electronics,Audio,Sonora,S0048,5999,5244
P00222,Nexivo Smartphone 256GB,Electronics,Smartphones,Nexivo,S0052,84699,71116
P00223,Sonora Bluetooth Speaker,Electronics,Audio,Sonora,S0057,6599,5668
P00224,Voltix Bluetooth Speaker,Electronics,Audio,Voltix,S0046,6899,5650
P00225,Nexivo Inverter Fan,Electronics,Home Appliances,Nexivo,S0051,54999,42546
P00226,Voltix Smartphone 128GB,Electronics,Smartphones,Voltix,S0046,27999,24031
P00227,Sonora Air Fryer 4L,Electronics,Home Appliances,Sonora,S0045,22299,17069
P00228,Nexivo Room Heater,Electronics,Home Appliances,Nexivo,S0053,12699,10954
P00229,Voltix Wireless Earbuds,Electronics,Audio,Voltix,S0048,14899,13072
P00230,Nexivo Room Heater,Electronics,Home Appliances,Nexivo,S0058,9999,7810
P00231,Nexivo Smartphone 128GB,Electronics,Smartphones,Nexivo,S0053,118899,100208
P00232,Sonora Bluetooth Speaker,Electronics,Audio,Sonora,S0057,15799,13818
P00233,Voltix Bluetooth Speaker,Electronics,Audio,Voltix,S0049,5999,5319
P00234,Nexivo Inverter Fan,Electronics,Home Appliances,Nexivo,S0056,11199,9295
P00235,Voltix Over-Ear Headphones,Electronics,Audio,Voltix,S0052,8799,6975
P00236,Nexivo Inverter Fan,Electronics,Home Appliances,Nexivo,S0049,7999,6489
P00237,Voltix Air Fryer 4L,Electronics,Home Appliances,Voltix,S0048,34499,27250
P00238,Voltix Smartphone 256GB,Electronics,Smartphones,Voltix,S0047,72699,54307
P00239,Sonora Smartphone 128GB,Electronics,Smartphones,Sonora,S0053,28899,24202
P00240,Voltix Smartphone 128GB,Electronics,Smartphones,Voltix,S0051,53299,47141
P00241,Voltix Room Heater,Electronics,Home Appliances,Voltix,S0045,9099,6939
P00242,Sonora Wireless Earbuds,Electronics,Audio,Sonora,S0047,9199,8227
P00243,Sonora Over-Ear Headphones,Electronics,Audio,Sonora,S0051,4499,3486
P00244,Sonora Bluetooth Speaker,Electronics,Audio,Sonora,S0045,4999,4049
P00245,Nexivo Smartphone 256GB,Electronics,Smartphones,Nexivo,S0054,68099,58206
P00246,Voltix Inverter Fan,Electronics,Home Appliances,Voltix,S0046,17899,13334
P00247,Sonora Smartphone 128GB,Electronics,Smartphones,Sonora,S0048,54299,47414
P00248,Nexivo Smartphone 256GB,Electronics,Smartphones,Nexivo,S0057,37499,33363
P00249,Nexivo Smartphone 256GB,Electronics,Smartphones,Nexivo,S0058,28499,25266
P00250,Voltix Air Fryer 4L,Electronics,Home Appliances,Voltix,S0058,21299,17863
P00251,Sonora Inverter Fan,Electronics,Home Appliances,Sonora,S0053,15699,13491
P00252,Sonora Smartphone 256GB,Electronics,Smartphones,Sonora,S0046,80999,66550
P00253,Nexivo Wireless Earbuds,Electronics,Audio,Nexivo,S0049,16899,12956
P00254,Nexivo Bluetooth Speaker,Electronics,Audio,Nexivo,S0048,6199,4794
P00255,Sonora Steam Iron,Electronics,Home Appliances,Sonora,S0057,14299,12003
P00256,Nexivo Smartphone 256GB,Electronics,Smartphones,Nexivo,S0057,40799,31117
P00257,Nexivo Room Heater,Electronics,Home Appliances,Nexivo,S0046,28299,23091
P00258,Sonora Smartphone 128GB,Electronics,Smartphones,Sonora,S0055,42399,34907
P00259,Voltix Room Heater,Electronics,Home Appliances,Voltix,S0056,16799,12717
P00260,Nexivo Wireless Earbuds,Electronics,Audio,Nexivo,S0057,6599,5614
P00261,Voltix Smartphone 128GB,Electronics,Smartphones,Voltix,S0045,42499,34252
P00262,Nexivo Bluetooth Speaker,Electronics ,Audio,Nexivo,S0052,4299,3436
P00263,Nexivo Smartphone 128GB,Electronics,Smartphones,Nexivo,S0050,32799,26661
P00264,Nexivo Smartphone 128GB,Electronics,Smartphones,Nexivo,S0045,91099,76098
P00265,Voltix Smartphone 128GB,Electronics,Smartphones,Voltix,S0055,59299,44738
P00266,Sonora Smartphone 128GB,Electronics,Smartphones,Sonora,S0049,110399,95304
P00267,Voltix Inverter Fan,Electronics,Home Appliances,Voltix,S0052,36799,33078
P00268,Voltix Inverter Fan,Electronics,Home Appliances,Voltix,S0058,16699,13245
P00269,ChargeUp Phone Case,Mobile Accessories,Cases & Protection,ChargeUp,S0069,899,425
P00270,ChargeUp Power Bank 10000mAh,Mobile Accessories,Chargers & Cables,ChargeUp,S0076,2399,1125
P00271,Voltix USB-C Cable,Mobile Accessories,Chargers & Cables,Voltix,S0068,3499,1581
P00272,Armor Case Phone Case,MOBILE ACCESSORIES,Cases & Protection,Armor Case,S0067,549,235
P00273,ChargeUp Phone Case,Mobile Accessories,Cases & Protection,ChargeUp,S0059,499,204
P00274,Armor Case USB-C Cable,Mobile Accessories,Chargers & Cables,Armor Case,S0064,749,326
P00275,Armor Case Fast Charger 25W,Mobile accessories,Chargers & Cables,Armor Case,S0065,599,283
P00276,Voltix Tempered Glass,Mobile Accessories,Cases & Protection,Voltix,S0059,1799,780
P00277,Voltix Power Bank 10000mAh,Mobile Accessories,Chargers & Cables,Voltix,S0072,2199,977
P00278,Voltix Fast Charger 25W,Mobile Accessories,Chargers & Cables,Voltix,S0073,2399,992
P00279,Voltix Phone Case,Mobile Accessories,Cases & Protection,Voltix,S0059,1399,571
P00280,Voltix Tempered Glass,Mobile Accessories,Cases & Protection,Voltix,S0074,1449,600
P00281,ChargeUp Phone Case,Mobile Accessories,Cases & Protection,ChargeUp,S0075,799,343
P00282,Armor Case Tempered Glass,Mobile Accessories,Cases & Protection,Armor Case,S0059,799,388
P00283,Armor Case Tempered Glass,Mobile Accessories,Cases & Protection,Armor Case,S0073,699,299
P00284,Armor Case USB-C Cable,Mobile Accessories,Chargers & Cables,Armor Case,S0073,649,287
P00285,Voltix Power Bank 10000mAh,Mobile Accessories,Chargers & Cables,Voltix,S0071,799,393
P00286,Voltix Tempered Glass,Mobile Accessories,Cases & Protection,Voltix,S0076,499,239
